audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,
matching_annotaudio_Aditya_2018-08-16_2324_229,0.03,NA,L,NA,NA,NA,NA,NA,NA,Duplicate Annotation,
matching_annotaudio_Aditya_2018-08-16_2324_230,0.37,0.592,R,50,1.245,1.291,28.02,1.489,1.501,,
matching_annotaudio_Aditya_2018-08-16_2324_231,0.97,NA,R,,,,,,,,
matching_annotaudio_Aditya_2018-08-16_2324_234,0.29,0.2668,R,50,0.561,0.607,27.97,0.621,0.634,,
matching_annotaudio_Aditya_2018-08-16_2324_235,0.23,NA,L,NA,NA,NA,NA,NA,NA,Duplicate Annotation,
matching_annotaudio_Aditya_2018-08-16_2324_236,0.71,0.8804,R,70,0.852,0.877,34.37,0.924,0.937,,
matching_annotaudio_Aditya_2018-08-16_2324_247,0.02,0.0288,R,80,0.265,0.323,32.38,0.336,0.345,Faint calls at 80kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_248,0.97,1.2804,L,45,0.889,0.914,32.15,0.879,0.886,,
matching_annotaudio_Aditya_2018-08-16_2324_249,0.51,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_250,0.52,0.1456,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_252,0.02,0.004,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_253,0.77,0.16016,R,70,0.002,0.027,25.26,0.226,0.233,,
matching_annotaudio_Aditya_2018-08-16_2324_254,0.51,0.306,R,70,0.014,0.037,24.75,0.164,0.168,,
matching_annotaudio_Aditya_2018-08-16_2324_255,0.74,0.6216,R,50,0.413,0.431,33.89,0.272,0.276,,
matching_annotaudio_Aditya_2018-08-16_2324_256,0.57,0.2508,R,55,0.215,0.237,39.1,0.203,0.211,,
matching_annotaudio_Aditya_2018-08-16_2324_257,0.07,0.112,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_258,0.48,0.2112,R,45,0.415,0.437,40.79,0.371,0.38,Not a very clear call. There is a strong echo of another call. Not sure.,
matching_annotaudio_Aditya_2018-08-16_2324_259,0.15,0.03,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_260,0.34,0.2584,L,45,0.274,0.327,34.25,0.348,0.359,,
matching_annotaudio_Aditya_2018-08-16_2324_277,0.96,0.96,R,60,0.302,0.318,41.63,0.288,0.292,,
matching_annotaudio_Aditya_2018-08-16_2324_278,0.56,NA,L,NA,NA,NA,NA,NA,NA,Overalapping HSB-FM calls.,
matching_annotaudio_Aditya_2018-08-16_2324_279,0.11,NA,L,NA,NA,NA,NA,NA,NA,2 bat situation -HSB and FM bat,
matching_annotaudio_Aditya_2018-08-16_2324_280,0.41,0.164,R,50,0.14,0.17,28.85,0.187,0.2,,
matching_annotaudio_Aditya_2018-08-16_2324_285,0.77,2.3716,L,50,2.559,2.578,23.06,2.551,2.556,,
matching_annotaudio_Aditya_2018-08-16_2324_286,0.5,1.24,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_287,0.61,0.244,L,50,0.198,0.225,36.33,0.189,0.193,,
matching_annotaudio_Aditya_2018-08-16_2324_288,0.7,7.476,R,45,7.866,7.883,21.4,7.851,7.86,,
